beta,lambda_c1,lambda_c2
1.118281263923396551e+00,4.173622682442214293e-02,-4.173622682442203191e-02
1.121722898321726225e+00,4.507512247737238686e-02,-4.507512247737227584e-02
1.124024360396535860e+00,4.507512479869957289e-02,-4.507512479869946187e-02
1.125175124730951381e+00,4.507512492080722327e-02,-4.507512492080711225e-02
1.128637975749158473e+00,4.507512505668988256e-02,-4.507512505668977154e-02
1.132111484074757701e+00,4.841402294169803305e-02,-4.841402294169792203e-02
1.135595682506792325e+00,4.841402318712316466e-02,-4.841402318712305364e-02
1.139090603945248859e+00,5.175292060761001178e-02,-5.175292060761001178e-02
1.142596281391366375e+00,5.175292129362794868e-02,-5.175292129362794868e-02
1.146112747947949373e+00,5.175292139653435430e-02,-5.175292139653435430e-02
1.149640036819679967e+00,5.509181933716700980e-02,-5.509181933716700980e-02
1.153178181313430972e+00,5.509181952647600189e-02,-5.509181952647600189e-02
1.156727214838581208e+00,5.843071709180488321e-02,-5.843071709180488321e-02
1.160287170907330578e+00,5.843071762986627032e-02,-5.843071762986627032e-02
1.163858083135015598e+00,5.843071772565854027e-02,-5.843071772565854027e-02
1.167439985240428912e+00,6.176961565616163885e-02,-6.176961565616163885e-02
1.171032911046135938e+00,6.176961584995455112e-02,-6.176961584995455112e-02
1.172363273122508875e+00,6.176961587856270169e-02,-6.176961587856270169e-02
1.174636894478794602e+00,6.510851320282898258e-02,-6.510851320282898258e-02
1.178251969569476199e+00,6.510851393662492326e-02,-6.510851393662492326e-02
1.181878170453986021e+00,6.510851404470724413e-02,-6.510851404470724413e-02
1.185515531373186882e+00,6.844741188395392362e-02,-6.844741188395392362e-02
1.189164086673320631e+00,6.844741215485630748e-02,-6.844741215485630748e-02
1.192823870806334119e+00,7.178630586526481283e-02,-7.178630586526481283e-02
1.196494918330203827e+00,7.178631019285035275e-02,-7.178631019285035275e-02
1.200177263909262049e+00,7.178631034921746645e-02,-7.178631034921746645e-02
1.203870942314524184e+00,7.512520771652218821e-02,-7.512520771652218821e-02
1.207575988424018032e+00,7.512520842253102293e-02,-7.512520842253102293e-02
1.211292437223111751e+00,7.512520853173182411e-02,-7.512520853173182411e-02
1.215020323804844926e+00,7.846410625363643698e-02,-7.846410625363632596e-02
1.218759683370259861e+00,7.846410662184692686e-02,-7.846410662184681584e-02
1.222510551228734421e+00,7.846410670732276160e-02,-7.846410670732265058e-02
1.222781011331147694e+00,7.846410671101156087e-02,-7.846410671101144985e-02
1.226272962798314214e+00,8.180300454920313991e-02,-8.180300454920302888e-02
