beta,lambda_B_r0,lambda_B_r1
1.199999999999999956e+00,-5.361829214002635791e-01,5.361829214002634680e-01
1.217647058823529527e+00,-5.205090961395643090e-01,5.205090961395643090e-01
1.235294117647058876e+00,-5.055107334427679788e-01,5.055107334427679788e-01
1.252941176470588225e+00,-4.911512099875694481e-01,4.911512099875695592e-01
1.270588235294117574e+00,-4.773948880094150971e-01,4.773948880094150971e-01
1.288235294117647145e+00,-4.642105385851609811e-01,4.642105385851612032e-01
1.305882352941176494e+00,-4.515725704307228527e-01,4.515725704307226862e-01
1.323529411764705843e+00,-4.394455987967748056e-01,4.394455987967748056e-01
1.341176470588235414e+00,-4.278086024547368971e-01,4.278086024547370081e-01
1.358823529411764763e+00,-4.166374822559162916e-01,4.166374822559162916e-01
1.376470588235294112e+00,-4.059058879592856162e-01,4.059058879592854496e-01
1.394117647058823461e+00,-3.955932825481257575e-01,3.955932825481256465e-01
1.411764705882352811e+00,-3.856797243464100133e-01,3.856797243464099023e-01
1.429411764705882382e+00,-3.761458678109859677e-01,3.761458678109859677e-01
1.447058823529411731e+00,-3.669729661458266956e-01,3.669729661458267511e-01
1.464705882352941302e+00,-3.581428753837739842e-01,3.581428753837739842e-01
1.482352941176470651e+00,-3.496460742366040431e-01,3.496460742366039320e-01
1.500000000000000000e+00,-3.414611453937053120e-01,3.414611453937053120e-01
1.517647058823529349e+00,-3.335715492952061600e-01,3.335715492952064931e-01
1.535294117647058698e+00,-3.259737559271090879e-01,3.259737559271090879e-01
1.552941176470588269e+00,-3.186425070078004462e-01,3.186425070078004462e-01
1.570588235294117618e+00,-3.115773900608503344e-01,3.115773900608502234e-01
1.588235294117647189e+00,-3.047586393480474221e-01,3.047586393480474221e-01
1.605882352941176539e+00,-2.981752538288244825e-01,2.981752538288244825e-01
1.623529411764705888e+00,-2.918260445758015242e-01,2.918260445758016353e-01
1.641176470588235237e+00,-2.856928144824655291e-01,2.856928144824654736e-01
1.658823529411764586e+00,-2.797672012284764809e-01,2.797672012284764254e-01
1.676470588235294157e+00,-2.740411127825470028e-01,2.740411127825470583e-01
1.694117647058823506e+00,-2.685067184858957456e-01,2.685067184858959122e-01
1.711764705882353077e+00,-2.631564502784899395e-01,2.631564502784898285e-01
1.729411764705882426e+00,-2.579840047589465613e-01,2.579840047589465613e-01
1.747058823529411775e+00,-2.529801486662167087e-01,2.529801486662165977e-01
1.764705882352941124e+00,-2.481381754154082797e-01,2.481381754154083075e-01
1.782352941176470473e+00,-2.434533996448546844e-01,2.434533996448545734e-01
1.800000000000000044e+00,-2.389184048489264856e-01,2.389184048489264578e-01
1.817647058823529393e+00,-2.345269921159616189e-01,2.345269921159615356e-01
1.835294117647058965e+00,-2.302731731808758397e-01,2.302731731808759230e-01
1.852941176470588314e+00,-2.261511659388888706e-01,2.261511659388886764e-01
1.870588235294117663e+00,-2.221553902492847954e-01,2.221553902492847121e-01
1.888235294117647012e+00,-2.182820338685564909e-01,2.182820338685566020e-01
1.905882352941176361e+00,-2.145311078662591742e-01,2.145311078662592852e-01
1.923529411764705710e+00,-2.108915356363606497e-01,2.108915356363605942e-01
1.941176470588235503e+00,-2.073584547970277192e-01,2.073584547970277192e-01
1.958823529411764852e+00,-2.039333596459181330e-01,2.039333596459181330e-01
1.976470588235294201e+00,-2.006106027686440918e-01,2.006106027686440363e-01
1.994117647058823550e+00,-1.973813509406608657e-01,1.973813509406608935e-01
2.011764705882352899e+00,-1.942498969815878440e-01,1.942498969815878440e-01
2.029411764705882248e+00,-1.912083141254937446e-01,1.912083141254936336e-01
2.047058823529411598e+00,-1.882504168432774239e-01,1.882504168432775349e-01
2.064705882352941391e+00,-1.853830569815599072e-01,1.853830569815599627e-01
2.082352941176470740e+00,-1.825904466696524064e-01,1.825904466696522954e-01
2.100000000000000089e+00,-1.798821924373181502e-01,1.798821924373182057e-01
2.117647058823529438e+00,-1.772446088560363509e-01,1.772446088560363509e-01
2.135294117647058787e+00,-1.746838493644413681e-01,1.746838493644413681e-01
2.152941176470588136e+00,-1.721899050139709952e-01,1.721899050139712450e-01
2.170588235294117485e+00,-1.697675680412572830e-01,1.697675680412572552e-01
2.188235294117647278e+00,-1.674065984129459728e-01,1.674065984129457785e-01
2.205882352941176627e+00,-1.651142056272049130e-01,1.651142056272048297e-01
2.223529411764705976e+00,-1.628762282060144118e-01,1.628762282060143007e-01
2.241176470588235325e+00,-1.607058505092737455e-01,1.607058505092735790e-01
2.258823529411764675e+00,-1.585863254322035787e-01,1.585863254322035787e-01
2.276470588235294024e+00,-1.565257445303972761e-01,1.565257445303972483e-01
2.294117647058823373e+00,-1.545177006949441656e-01,1.545177006949441656e-01
2.311764705882352722e+00,-1.525582122377900640e-01,1.525582122377901473e-01
2.329411764705882515e+00,-1.506549157139854545e-01,1.506549157139854822e-01
