beta,lambda_c1,lambda_c2
6.300545589892762033e-01,-4.257095167411990566e-01,4.257095167411991676e-01
6.342169459780614416e-01,-4.190317198763146567e-01,4.190317198763147677e-01
6.384068313242463599e-01,-4.090150268077692997e-01,4.090150268077694107e-01
6.426243966927415174e-01,-4.023372291738336326e-01,4.023372291738336326e-01
6.468698249486067864e-01,-3.956594326561599928e-01,3.956594326561599928e-01
6.502067419937486159e-01,-3.889816363861584025e-01,3.889816363861584025e-01
6.511433001649804542e-01,-3.856427388522205568e-01,3.856427388522205568e-01
6.554450076310596174e-01,-3.789649419831373489e-01,3.789649419831374599e-01
6.597751338601346438e-01,-3.722871455113522798e-01,3.722871455113523909e-01
6.641338665976754818e-01,-3.622704521905651953e-01,3.622704521905653063e-01
6.685213948294723707e-01,-3.555926549763612776e-01,3.555926549763613886e-01
6.729379087898295086e-01,-3.489148584477883563e-01,3.489148584477883563e-01
6.773835999698131216e-01,-3.422370620321002477e-01,3.422370620321002477e-01
6.781690247186418219e-01,-3.388981644721851816e-01,3.388981644721851816e-01
6.818586611255548213e-01,-3.322203704269712787e-01,3.322203704269712787e-01
6.863632862866082540e-01,-3.255425718738616525e-01,3.255425718738616525e-01
6.908976707643624815e-01,-3.188647751899405525e-01,3.188647751899406635e-01
6.954620111605098742e-01,-3.121869787194921364e-01,3.121869787194922474e-01
7.000565053755707368e-01,-3.055091823169461818e-01,3.055091823169462928e-01
7.046813526174733333e-01,-2.988313859449552301e-01,2.988313859449553411e-01
7.073338315096333595e-01,-2.954924877197223076e-01,2.954924877197223076e-01
7.093367534101918670e-01,-2.921535895896958945e-01,2.921535895896958945e-01
7.140229096024399702e-01,-2.854757932449941693e-01,2.854757932449941693e-01
7.187400243764231478e-01,-2.787979969078335785e-01,2.787979969078335785e-01
7.234883022566479527e-01,-2.721202005767757170e-01,2.721202005767757170e-01
7.282679491187900034e-01,-2.654424042513597870e-01,2.654424042513598980e-01
7.330791721986200660e-01,-2.587646079319385062e-01,2.587646079319386172e-01
7.377528771764105819e-01,-2.520868116451994156e-01,2.520868116451995267e-01
7.379221801009895332e-01,-2.520868116198250464e-01,2.520868116198251574e-01
7.427971828088751893e-01,-2.454090153178737355e-01,2.454090153178738465e-01
7.477043916924832612e-01,-2.387312190320395322e-01,2.387312190320395322e-01
7.526440195184146420e-01,-2.320534227758992984e-01,2.320534227758992984e-01
7.576162804588895128e-01,-2.253756265870983377e-01,2.253756265870983377e-01
7.626213901010333585e-01,-2.186978306202103095e-01,2.186978306202103095e-01
7.676595654562250459e-01,-2.120200371399618977e-01,2.120200371399620087e-01
7.694801005353288925e-01,-2.120200336713386480e-01,2.120200336713387590e-01
7.727310249695048538e-01,-2.086811354552303432e-01,2.086811354552304543e-01
7.778359885290472286e-01,-2.020033391984771831e-01,2.020033391984772941e-01
7.829746774756933814e-01,-1.953255430258660497e-01,1.953255430258661607e-01
7.881473146125489437e-01,-1.886477472918115239e-01,1.886477472918116349e-01
7.933541242146442407e-01,-1.853088482896043387e-01,1.853088482896043387e-01
7.985953320386580678e-01,-1.786310520525606071e-01,1.786310520525606071e-01
8.025717600533025520e-01,-1.752921537957938536e-01,1.752921537957938536e-01
8.038711653327059725e-01,-1.719532559862935461e-01,1.719532559862935461e-01
8.091818528461939275e-01,-1.652754680327593872e-01,1.652754680327593872e-01
8.145276248397356200e-01,-1.619365612091131779e-01,1.619365612091131779e-01
8.199087130951365765e-01,-1.552587651723939532e-01,1.552587651723940643e-01
8.253253509254437903e-01,-1.519198666373443307e-01,1.519198666373444417e-01
8.307777731850615188e-01,-1.452420704406274798e-01,1.452420704406275909e-01
8.362662162799336940e-01,-1.385642749293672926e-01,1.385642749293674036e-01
8.370865336048836092e-01,-1.385642742504179514e-01,1.385642742504180625e-01
8.417909181777950556e-01,-1.352253758726592037e-01,1.352253758726593147e-01
8.473521184184880095e-01,-1.285475799140010922e-01,1.285475799140010922e-01
8.529500581243487645e-01,-1.252086813498674289e-01,1.252086813498674289e-01
8.585849800106625240e-01,-1.185308853065384499e-01,1.185308853065384499e-01
8.642571283961860695e-01,-1.151919868489022364e-01,1.151919868489022364e-01
8.699667492137419522e-01,-1.085141908152417595e-01,1.085141908152417595e-01
8.730856225194147946e-01,-1.051752932863825318e-01,1.051752932863825318e-01
8.757140900208810752e-01,-1.051752923646579879e-01,1.051752923646579879e-01
8.814994000106161076e-01,-9.849749644337528476e-02,9.849749644337539578e-02
8.815693488197207106e-01,-9.849749640715285692e-02,9.849749640715296795e-02
8.873229300222268412e-01,-9.515859790135505758e-02,9.515859790135516860e-02
8.931849325521349359e-01,-8.848080253449884525e-02,8.848080253449895627e-02
8.990856617648528282e-01,-8.514190348056238644e-02,8.514190348056249746e-02
9.050253735040024727e-01,-8.180300518747173066e-02,8.180300518747184169e-02
9.106328601027524616e-01,-7.512520941267626651e-02,7.512520941267626651e-02
9.110043253034095789e-01,-7.512520921471270430e-02,7.512520921471270430e-02
9.170227763982686797e-01,-7.178631076476768569e-02,7.178631076476768569e-02
9.230809877363835847e-01,-6.510852632571484389e-02,6.510852632571484389e-02
9.291792219894815519e-01,-6.176961650839013496e-02,6.176961650839013496e-02
9.353177435646019555e-01,-5.843071811310966701e-02,5.843071811310966701e-02
9.414968186155603380e-01,-5.509181987035598194e-02,5.509181987035598194e-02
9.477167150544889562e-01,-4.841402408337680541e-02,4.841402408337691643e-02
9.497948248259910908e-01,-4.841402361953152378e-02,4.841402361953163480e-02
9.539777025634519347e-01,-4.507512553413934447e-02,4.507512553413945550e-02
9.602800526061391340e-01,-4.173622725946221634e-02,4.173622725946232737e-02
9.666240384396357355e-01,-3.839732904326098595e-02,3.839732904326109697e-02
9.730099351262695428e-01,-3.171953336748847135e-02,3.171953336748858238e-02
9.794380195455385518e-01,-2.838063478284754207e-02,2.838063478284765309e-02
9.859085704061145705e-01,-2.504173649084065825e-02,2.504173649084076927e-02
9.906409583818933662e-01,-2.170283841195407709e-02,2.170283841195418811e-02
9.924218682579282191e-01,-2.170283826538710326e-02,2.170283826538721428e-02
9.989781955043326445e-01,-1.836394006562913628e-02,1.836394006562913628e-02
1.005577836414348170e+00,-1.168614588757201957e-02,1.168614588757201957e-02
1.012221077134987324e+00,-8.347246175989879793e-03,8.347246175989879793e-03
1.018908205703661807e+00,-5.008347723630240597e-03,5.008347723630239730e-03
1.025639512060671388e+00,-1.669449439883393532e-03,1.669449439883393532e-03
1.032415288061774961e+00,1.669448788333374734e-03,-1.669448788333374950e-03
1.033243688818361150e+00,1.669448849296528963e-03,-1.669448849296529397e-03
1.039235827490844422e+00,5.008346991248991201e-03,-5.008346991248991201e-03
1.046101426072603147e+00,8.347245180321873417e-03,-8.347245180321873417e-03
1.053012381485447513e+00,1.168614336079614596e-02,-1.168614336079614596e-02
1.059968993374354351e+00,1.502504153534764061e-02,-1.502504153534764061e-02
1.066971563363872333e+00,1.836393970540637841e-02,-1.836393970540637841e-02
1.074020395071199285e+00,2.170283787170320527e-02,-2.170283787170309425e-02
1.077678558967290368e+00,2.504173567519861823e-02,-2.504173567519850721e-02
1.081115794119348106e+00,2.504173603450144531e-02,-2.504173603450133428e-02
1.088258068150396385e+00,2.838063419367226406e-02,-2.838063419367215304e-02
1.095447526838825292e+00,3.171953234865217824e-02,-3.171953234865206722e-02
1.102684481904947500e+00,3.505843049826034424e-02,-3.505843049826023322e-02
1.109969247128421932e+00,3.839732864025320602e-02,-3.839732864025309500e-02
1.117302138361858210e+00,4.173622677025226602e-02,-4.173622677025215499e-02
1.124024360396535860e+00,4.507512479869957289e-02,-4.507512479869946187e-02
1.124683473544512591e+00,4.507512487885222824e-02,-4.507512487885211722e-02
1.132113572716072269e+00,4.841402294204053686e-02,-4.841402294204042583e-02
1.139592758030531172e+00,5.175292087579567296e-02,-5.175292087579567296e-02
1.147121353770159669e+00,5.509181804120958509e-02,-5.509181804120958509e-02
1.154699686359563104e+00,5.509181955814559939e-02,-5.509181955814560633e-02
1.162328084379835591e+00,5.843071769634788221e-02,-5.843071769634788221e-02
1.170006878582806387e+00,6.176961581897455478e-02,-6.176961581897455478e-02
